review,clean_review,label
The movie! Maybe the greatest ever!,movie maybe greatest ever,1.0
Great all together!,great together,1.0
One of the most brilliant movies out there!,one brilliant movies,1.0
"The Best, ever and forever.",best ever forever,1.0
Best ever movie to watch,best ever movie watch,1.0
One of the greatest films ever made.,one greatest films ever made,1.0
Simply One Of The Greatest Film I've Ever Watch,simply one greatest film ive ever watch,1.0
Best film ever!!!,best film ever,1.0
Absolutely Amazing!!!!,absolutely amazing,1.0
"Not a bad movie, but also not a very entertaining one",bad movie also entertaining one,0.0
excellent engaging drama,excellent engaging drama,1.0
Truly brilliant movie,truly brilliant movie,1.0
Stunning. The best movie i have ever seen,stunning best movie ever seen,1.0
The best movie i've ever seen,best movie ive ever seen,1.0
The Best movie i have ever seen,best movie ever seen,1.0
Best drama of the 90's,best drama,1.0
Simply the best movie ever made!!,simply best movie ever made,1.0
Still the best movie,still best movie,1.0
One of the best movies in my lifetime,one best movies lifetime,1.0
THE BEST I HAVE EVER SEEN,best ever seen,1.0
Absolutely best movie of all time,absolutely best movie time,1.0
"pure viewing pleasure, one of the best",pure viewing pleasure one best,1.0
Bad Name but Good Film,bad name good film,0.0
FORREST GUMP AIN'T THAT BAD. . .,forrest gump aint bad,0.0
"MASTERPIECE*, THE BEST* Ethical, Life-displaying, Heart-aching,",masterpiece best ethical lifedisplaying heartaching,1.0
The Shawshanks Redemption is best movie ever made!!,shawshanks redemption best movie ever made,1.0
The Greatest Movie That I Have Ever Seen,greatest movie ever seen,1.0
The great movie I've ever seen,great movie ive ever seen,1.0
Best Movie for 22th Century,best movie th century,1.0
This movie was brilliant!,movie brilliant,1.0
It's a great movie. It is realistic and instructive.,great movie realistic instructive,1.0
For something it is rated as the best movie on imdb,something rated best movie imdb,1.0
A great adaptation of a great book.,great adaptation great book,1.0
"Hope is a good thing, maybe the best of things, and no good thing ever dies...a fine piece of art....",hope good thing maybe best things good thing ever diesa fine piece art,1.0
Best From Hollywood Side,best hollywood side,1.0
the best movie i've ever seen,best movie ive ever seen,1.0
Movie was amazing,movie amazing,1.0
the best dramatic film you can ever sean,best dramatic film ever sean,1.0
one of the greatest movies ever,one greatest movies ever,1.0
One of the Greatest Films Ever Made,one greatest films ever made,1.0
excellent movie tittle,excellent movie tittle,1.0
"Like It, Not The Best",like best,1.0
How could one movie be so terrible,could one movie terrible,0.0
"Honestly, one of the best films I've ever seen, and quite possibly my favourite of all time.",honestly one best films ive ever seen quite possibly favourite time,1.0
A Truly Amazing Experience,truly amazing experience,1.0
One of the best movies in history,one best movies history,1.0
The best film ever,best film ever,1.0
Best Movie Ever seen,best movie ever seen,1.0
One Of The Best Overall Story.,one best overall story,1.0
One of the Greatest Movies Ever Made,one greatest movies ever made,1.0
The Best Movie Of All Time,best movie time,1.0
For me it's the best movie about friendship in bad times and hope!,best movie friendship bad times hope,1.0
This is not the best film ever done,best film ever done,1.0
Brilliant. Shakes you to the core.,brilliant shakes core,1.0
One of the best Story to see,one best story see,1.0
Probably the best movie of all time,probably best movie time,1.0
best movies I have ever seen,best movies ever seen,1.0
GReat Body of work,great body work,1.0
Best of the best,best best,1.0
One of the best movies I have ever seen.,one best movies ever seen,1.0
One of the best Stephen King adaptations ever made.,one best stephen king adaptations ever made,1.0
The greatest movie ever made...,greatest movie ever made,1.0
The best of the best,best best,1.0
The best movie about prison ever,best movie prison ever,1.0
quite possibly one of the best films,quite possibly one best films,1.0
"AMAZING STORY, AMAZING MOVIE TOO",amazing story amazing movie,1.0
one of the best movies,one best movies,1.0
Best Film I've Ever Seen,best film ive ever seen,1.0
Possibly the best movie that has ever been and ever will be made,possibly best movie ever ever made,1.0
One of the best movies,one best movies,1.0
The best movie I have ever seen,best movie ever seen,1.0
One of the best films ever....,one best films ever,1.0
THE GREATEST MOVIE EVER,greatest movie ever,1.0
Greatest sleeper of all time,greatest sleeper time,1.0
Why is it so great?,great,1.0
Because it's still the Best,still best,1.0
One of the two greatest movies I have ever seen,one two greatest movies ever seen,1.0
One of the greatest adaptations of all time,one greatest adaptations time,1.0
One of the best movies i have ever seen.,one best movies ever seen,1.0
A Film That Doesn't Fit Into A Genre (And That's What Makes It Great),film doesnt fit genre thats makes great,1.0
Best movie ever!!!,best movie ever,1.0
Simply an amazing movie!,simply amazing movie,1.0
That's great fiml,thats great fiml,1.0
"Excellent, One of the Best of all time",excellent one best time,1.0
Great Movie to Watch!,great movie watch,1.0
Best movie of the '90s,best movie,1.0
Simply Put: the greatest of all time,simply put greatest time,1.0
Not bad but really overrated,bad really overrated,0.0
Probably the best movie ever,probably best movie ever,1.0
One of the greatest movies ever made,one greatest movies ever made,1.0
"There's a reason why this didn't win ""Best Picture""",theres reason didnt win best picture,1.0
One of the Best Ever,one best ever,1.0
"The Greatest Movie of All Time, and for Good Reason",greatest movie time good reason,1.0
One of the best film ever,one best film ever,1.0
"The Best Film of All Time? Seriously, Folks?",best film time seriously folks,1.0
One of the greatest films ever.,one greatest films ever,1.0
"The Shawshank Redemption is one of the greatest films of all time, due largely to the subtlety of its beauty and intelligence.",shawshank redemption one greatest films time due largely subtlety beauty intelligence,1.0
The Best Movie Ever?,best movie ever,1.0
Tied for the best movie ever,tied best movie ever,1.0
Is the best movie of all time,best movie time,1.0
One of the best movies I've ever seend.,one best movies ive ever seend,1.0
The all time greatest,time greatest,1.0
"A wonderfully constructed, emotional masterpiece",wonderfully constructed emotional masterpiece,1.0
the best movie ever,best movie ever,1.0
Best movie I have ever watched,best movie ever watched,1.0
1 of greatest films of all time!,greatest films time,1.0
one of the best film i ever watched,one best film ever watched,1.0
One of the greatest films ever made!!!,one greatest films ever made,1.0
One of the greatest movies of all time.,one greatest movies time,1.0
One of the best films of all time,one best films time,1.0
Absolutely awful!,absolutely awful,0.0
Is this truly the best movie ever?,truly best movie ever,1.0
this is the best,best,1.0
Best movie ever?,best movie ever,1.0
One of the best movie !!,one best movie,1.0
Absolutely Fantastic,absolutely fantastic,1.0
Just plain amazing,plain amazing,1.0
"Good, but not Great",good great,1.0
Is this the best movie of all time? - it is not,best movie time,1.0
Nothing but Greatness!!,nothing greatness,1.0
Best of all time,best time,1.0
Shawshank Redemption is the best movie ever made.,shawshank redemption best movie ever made,1.0
Great among greats.,great among greats,1.0
What a great movie....,great movie,1.0
Total waste of time.,total waste time,0.0
A great movie with even greater Cast,great movie even greater cast,1.0
Best movie of all time...don't think so,best movie timedont think,1.0
One of the very best,one best,1.0
Hands down to the best movie I've ever watched..,hands best movie ive ever watched,1.0
The Shawshank Redemption - The Greatest movie of all time,shawshank redemption greatest movie time,1.0
"Hope is a good thing, maybe the best of things",hope good thing maybe best things,1.0
Cinema at its best,cinema best,1.0
hope....is greatest thing,hopeis greatest thing,1.0
Still one of the best movies. Quality does not age.,still one best movies quality age,1.0
Seriously one of the best movies!,seriously one best movies,1.0
the best movie of the past,best movie past,1.0
"you want a great emotional story, here you got it",want great emotional story got,1.0
hardly the best movie ever made but a masterpiece nonetheless,hardly best movie ever made masterpiece nonetheless,1.0
"An amazing and thought provoking film about so much more than the premise suggests that can teach us all something about life, respect, hope, and how all films should be made.",amazing thought provoking film much premise suggests teach us something life respect hope films made,1.0
Amazingly Powerful Story!,amazingly powerful story,1.0
Excellent cast and story Line,excellent cast story line,1.0
Excellent! Beaware of Inst-man-cry.,excellent beaware instmancry,1.0
Wonderfully crafted motion picture with wide appeal,wonderfully crafted motion picture wide appeal,1.0
- Some things Are Best left Unsaid -,things best left unsaid,1.0
The best movie made to date.,best movie made date,1.0
Best movie..Worth your time,best movieworth time,1.0
One of the best value is to being human no matter of obstacles!,one best value human matter obstacles,1.0
"Best Film Ever, Really?",best film ever really,1.0
The bestest crime drama movie ever,bestest crime drama movie ever,1.0
This is Great Movie to watch at home,great movie watch home,1.0
One of best movies ever!,one best movies ever,1.0
Extremely over-rated but great movie!!,extremely overrated great movie,1.0
One of the best film about prison's life,one best film prisons life,1.0
An amazing movie...,amazing movie,1.0
One of the best film,one best film,1.0
best movie i have ever seen,best movie ever seen,1.0
Best movie I have ever seen,best movie ever seen,1.0
Greatest film of all time. Artistic perfection. Best music I've ever heard in a film.,greatest film time artistic perfection best music ive ever heard film,1.0
Greatest film of all time after Godfather,greatest film time godfather,1.0
"The greatest movie, especially the storyline (ending)",greatest movie especially storyline ending,1.0
One of the best prison dramas ever,one best prison dramas ever,1.0
Quite simply the best film I have ever seen.,quite simply best film ever seen,1.0
Absolutely Great,absolutely great,1.0
is this the best movie I have ever seen or is it the worst movie I have ever seen?,best movie ever seen worst movie ever seen,1.0
The Best movie of all time,best movie time,1.0
The best movie of all time!!!!!,best movie time,1.0
Jaw-droppingly Great Film - At the Top of Everyone's List!,jawdroppingly great film top everyones list,1.0
Hope is wonderful,hope wonderful,1.0
Old fashioned and entertaining? Sure. Great? No way.,old fashioned entertaining sure great way,1.0
The single greatest masterpiece of all time.,single greatest masterpiece time,1.0
"Not quite great, but still compelling",quite great still compelling,1.0
the greatest motion picture ever made,greatest motion picture ever made,1.0
When was the last time you saw a great movie???,last time saw great movie,1.0
ONE OF THE BEST MOVIES OF THE DECADE,one best movies decade,1.0
Best movie ever.,best movie ever,1.0
My Review of this Great Movie,review great movie,1.0
My best Film ever,best film ever,1.0
"One of the Worst ""Films"" Ever Made!",one worst films ever made,0.0
The best prison movie ever filmed,best prison movie ever filmed,1.0
The best movie ever made!,best movie ever made,1.0
The 1st Greatest Film of All Time,st greatest film time,1.0
"Without a doubt, one of the best films ever made",without doubt one best films ever made,1.0
One of the greatest movie.,one greatest movie,1.0
Greatest Soundtrack and Story,greatest soundtrack story,1.0
"Great movie, a must watch",great movie must watch,1.0
Amazing Movie - Must Watch,amazing movie must watch,1.0
One of the greatest film achievements.,one greatest film achievements,1.0
A wonderful piece of work,wonderful piece work,1.0
One of the best of the hollywood,one best hollywood,1.0
Without question the greatest movie of all time.,without question greatest movie time,1.0
Amazing example of Story Arc,amazing example story arc,1.0
One of the best movies I have ever seen!,one best movies ever seen,1.0
One of the GREATS!,one greats,1.0
World's best movie,worlds best movie,1.0
Best standalone movie ever made,best standalone movie ever made,1.0
Truly corresponding to the title - The best movie ever made,truly corresponding title best movie ever made,1.0
"Good, but not the best ever.",good best ever,1.0
Pathetic. Glorification of worst criminals as heoes.,pathetic glorification worst criminals heoes,0.0
"Great movie, but ""The Best Ever""?",great movie best ever,1.0
"Greatest ""prison/escape"" movie ever",greatest prisonescape movie ever,1.0
Best movie Ever!!!!!!,best movie ever,1.0
The Best Movie of All Time.,best movie time,1.0
Best Part In movie,best part movie,1.0
Best film ever made(for me),best film ever madefor,1.0
"one of the best movies you'll ever see, with everything you'll ask for in a movie",one best movies youll ever see everything youll ask movie,1.0
Overrated and boring,overrated boring,0.0
"Best movie, ever",best movie ever,1.0
The Shawshank Redemption is excellent!,shawshank redemption excellent,1.0
Greatest Movie Of All Time!,greatest movie time,1.0
Amazingly Amazing,amazingly amazing,1.0
"Excellent cinema, right out of the heart",excellent cinema right heart,1.0
"Best there is, seriously...",best seriously,1.0
this is the greatest movie of all time,greatest movie time,1.0
best movie in all time!,best movie time,1.0
Best Movie I Have Seen,best movie seen,1.0
"Hope is a good thing, maybe the best of things, and no good thing ever dies",hope good thing maybe best things good thing ever dies,1.0
a great movie to see,great movie see,1.0
"Worst movie ever,rated 1 out of 10 by me",worst movie everrated,0.0
This movie is one of the best I have ever seen.,movie one best ever seen,1.0
"Entertaining, Though Maybe Slightly Overrated. Still, A Wonderful Story About The Power Of Friendship.",entertaining though maybe slightly overrated still wonderful story power friendship,1.0
Great Film. Why no Oscar?,great film oscar,1.0
The Best Movie of the past 20 Years,best movie past years,1.0
Not at all the best movie.. But maybe in the top10,best movie maybe top,1.0
The second best movie of all time.,second best movie time,1.0
"Not as great as people say it is, but very good nevertheless",great people say good nevertheless,1.0
Simply brilliant.,simply brilliant,1.0
Maybe the best film out there?,maybe best film,1.0
The best movie I've seen,best movie ive seen,1.0
Best Movie Ever!,best movie ever,1.0
"Not bad, but not that good",bad good,0.0
One of the best films of the 1990's,one best films,1.0
The best film ever made,best film ever made,1.0
it's really very great,really great,1.0
Hope is a Dangerous thing maybe the best thing of all,hope dangerous thing maybe best thing,1.0
One of the best if not the one...,one best one,1.0
Absolutely amazing! You will laugh and cry,absolutely amazing laugh cry,1.0
The best movie still to day,best movie still day,1.0
Possibly the greatest film ever made,possibly greatest film ever made,1.0
How was this that great?,great,1.0
One of the best movies ever done,one best movies ever done,1.0
It's the worst I've seen,worst ive seen,0.0
Excellent movie that i would recommend to every movie lover out there,excellent movie would recommend every movie lover,1.0
Greatest story ever told,greatest story ever told,1.0
"Masterpiece,I will say it was the best movie I've seen until my last breath,a movie like this comes once in 100 years,that's all i have to say.",masterpiecei say best movie ive seen last breatha movie like comes yearsthats say,1.0
A brilliant classic,brilliant classic,1.0
One of the greatest films of all time.,one greatest films time,1.0
you should definitely watch a great movie,definitely watch great movie,1.0
Best-rated Film The Shawshank Redemption is amazing,bestrated film shawshank redemption amazing,1.0
Excellent movie! One of the best that Hollywood has to offer!,excellent movie one best hollywood offer,1.0
An Excellent Piece Of Art!,excellent piece art,1.0
The best Stephen King movie,best stephen king movie,1.0
The best darn picture ever made,best darn picture ever made,1.0
about best movie,best movie,1.0
EXCELLENT. Shawshank Redemption is a phenomenal film about the human condition and a man's battle to not lose his humanity.,excellent shawshank redemption phenomenal film human condition mans battle lose humanity,1.0
wonderful movie for action buff,wonderful movie action buff,1.0
Best Movie in the 20th Century!!!,best movie th century,1.0
A brilliant movie,brilliant movie,1.0
One of the best i have ever seen,one best ever seen,1.0
Brilliant!!!!!!!!,brilliant,1.0
BEST MOVIE I HAVE EVER SEEN,best movie ever seen,1.0
An excellent movie,excellent movie,1.0
"One of the greatest movies of all time,",one greatest movies time,1.0
BEST MOVIE IN CINEMA HISTORY,best movie cinema history,1.0
Best movie ever made .. redemptive,best movie ever made redemptive,1.0
The key to it's greatness is the deeper meanings,key greatness deeper meanings,1.0
This movie was great!!,movie great,1.0
"Without a Doubt, One of the Greatest Movies I have Ever Seen",without doubt one greatest movies ever seen,1.0
not good not bad,good bad,0.0
Best movie ever in my opinion,best movie ever opinion,1.0
